Team,User,Week,Date,Location,Opponent_Rank,Opponent,Opponent_User,Matchup_Type,Status,Outcome,Team_Score,Opponent_Score,Margin,Last_Updated,Season,Opponent_Rank_At_Game
California,Ben,9,"Sat, Oct 31",Home,12,Oregon,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:44:58,2026,
California,Ben,10,"Sat, Nov 7",Away,-,Washington State,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:44:58,2026,
California,Ben,11,"Sat, Nov 14",Away,-,Boise State,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:44:58,2026,
California,Ben,12,"Sat, Nov 21",Away,-,Arizona State,Brian,User vs User,Upcoming,-,,,,2026-07-25 13:44:58,2026,
California,Ben,13,"Sat, Nov 28",Home,-,Vanderbilt,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:44:58,2026,
California,Ben,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:44:58,2026,
California,Ben,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:44:58,2026,
California,Ben,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:44:58,2026,
Colorado,tigerbrave27,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:32,2026,
Colorado,tigerbrave27,1,"Sat, Sep 5",Away,-,Texas A&M,CPU,User vs CPU,Completed,W,35.0,24.0,11.0,2026-08-08 12:18:32,2026,8
Colorado,tigerbrave27,2,"Sat, Sep 12",Away,20,Oklahoma,CPU,User vs CPU,Completed,W,23.0,20.0,3.0,2026-08-08 12:18:32,2026,4
Colorado,tigerbrave27,3,"Sat, Sep 19",Home,11,Texas,CPU,User vs CPU,Completed,W,42.0,17.0,25.0,2026-08-08 12:18:32,2026,2
Colorado,tigerbrave27,4,"Sat, Sep 26",Away,-,Baylor,tigerbo134_85571,User vs User,Completed,W,29.0,13.0,16.0,2026-08-08 12:18:32,2026,-
Colorado,tigerbrave27,5,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:32,2026,
Colorado,tigerbrave27,6,"Sat, Oct 10",Home,-,Arizona,CPU,User vs CPU,Completed,W,38.0,7.0,31.0,2026-08-08 12:18:32,2026,-
Colorado,tigerbrave27,7,"Sat, Oct 17",Home,-,UCF,CPU,User vs CPU,Completed,W,28.0,0.0,28.0,2026-08-08 12:18:32,2026,-
Colorado,tigerbrave27,8,"Sat, Oct 24",Home,-,Nebraska,CPU,User vs CPU,Completed,W,37.0,24.0,13.0,2026-08-08 12:18:32,2026,-
Colorado,tigerbrave27,9,"Sat, Oct 31",Home,-,Kansas State,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:02,2026,
Colorado,tigerbrave27,10,"Sat, Nov 7",Home,-,Arizona State,Brian,User vs User,Upcoming,-,,,,2026-07-25 13:45:02,2026,
Colorado,tigerbrave27,11,"Sat, Nov 14",Away,-,TCU,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:02,2026,
Colorado,tigerbrave27,12,"Sat, Nov 21",Home,-,Iowa State,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:02,2026,
Colorado,tigerbrave27,13,"Sat, Nov 28",Away,-,Cincinnati,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:02,2026,
Colorado,tigerbrave27,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:02,2026,
Colorado,tigerbrave27,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:02,2026,
Colorado,tigerbrave27,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:02,2026,
Kentucky,travisdunn070896,0,"Sat, Aug 29",Home,-,South Alabama,CPU,User vs CPU,Completed,L,10.0,17.0,-7.0,2026-08-08 12:18:34,2026,-
Kentucky,travisdunn070896,1,"Sat, Sep 5",Home,-,FCS Southeast,CPU,User vs CPU,Completed,W,33.0,0.0,33.0,2026-08-08 12:18:34,2026,-
Kentucky,travisdunn070896,2,"Mon, Sep 14",Home,-,Alabama,CPU,User vs CPU,Completed,L,17.0,24.0,-7.0,2026-08-08 12:18:34,2026,7
Kentucky,travisdunn070896,3,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:34,2026,
Kentucky,travisdunn070896,4,"Sat, Sep 26",Away,-,Mississippi State,CPU,User vs CPU,Completed,W,24.0,14.0,10.0,2026-08-08 12:18:34,2026,-
Kentucky,travisdunn070896,5,"Sat, Oct 3",Home,-,Ole Miss,CPU,User vs CPU,Completed,W,34.0,14.0,20.0,2026-08-08 12:18:34,2026,24
Kentucky,travisdunn070896,6,"Sat, Oct 10",Home,-,Auburn,CPU,User vs CPU,Completed,W,20.0,14.0,6.0,2026-08-08 12:18:34,2026,-
Kentucky,travisdunn070896,7,"Sat, Oct 17",Away,-,Georgia,CPU,User vs CPU,Completed,L,35.0,59.0,-24.0,2026-08-08 12:18:34,2026,14
Kentucky,travisdunn070896,8,"Sat, Oct 24",Home,-,Vanderbilt,CPU,User vs CPU,Completed,W,41.0,17.0,24.0,2026-08-08 12:18:34,2026,-
Kentucky,travisdunn070896,9,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-26 18:47:02,2026,
Kentucky,travisdunn070896,10,"Sat, Nov 7",Away,-,Arkansas,dbailey287,User vs User,Upcoming,-,,,,2026-07-26 18:47:02,2026,
Kentucky,travisdunn070896,11,"Sat, Nov 14",Away,-,Florida,CPU,User vs CPU,Upcoming,-,,,,2026-07-26 18:47:02,2026,
Kentucky,travisdunn070896,12,"Sat, Nov 21",Away,-,Missouri,pancake_bear24_67064,User vs User,Upcoming,-,,,,2026-07-26 18:47:02,2026,
Kentucky,travisdunn070896,13,"Sat, Nov 28",Away,10,Louisville,CPU,User vs CPU,Upcoming,-,,,,2026-07-26 18:47:02,2026,
Kentucky,travisdunn070896,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-26 18:47:02,2026,
Kentucky,travisdunn070896,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-26 18:47:02,2026,
Kentucky,travisdunn070896,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-26 18:47:02,2026,
Maryland,coys35,0,"Sat, Aug 29",Home,-,FCS Northwest,CPU,User vs CPU,Completed,W,56.0,3.0,53.0,2026-08-08 12:18:35,2026,-
Maryland,coys35,1,"Sat, Sep 5",Home,-,FCS East,CPU,User vs CPU,Completed,W,34.0,7.0,27.0,2026-08-08 12:18:35,2026,-
Maryland,coys35,2,"Sat, Sep 12",Away,-,UConn,CPU,User vs CPU,Completed,L,24.0,27.0,-3.0,2026-08-08 12:18:35,2026,-
Maryland,coys35,3,"Sat, Sep 19",Home,3,Michigan,CPU,User vs CPU,Completed,L,13.0,21.0,-8.0,2026-08-08 12:18:35,2026,3
Maryland,coys35,4,"Sat, Sep 26",Away,-,Minnesota,CPU,User vs CPU,Completed,L,39.0,42.0,-3.0,2026-08-08 12:18:35,2026,-
Maryland,coys35,5,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:35,2026,
Maryland,coys35,6,"Sat, Oct 10",Away,-,Virginia Tech,rooke1221,User vs User,Completed,L,7.0,38.0,-31.0,2026-08-08 12:18:35,2026,-
Maryland,coys35,7,"Sat, Oct 17",Away,-,Rutgers,CPU,User vs CPU,Completed,W,31.0,28.0,3.0,2026-08-08 12:18:35,2026,-
Maryland,coys35,8,"Mon, Oct 26",Home,-,Michigan State,CPU,User vs CPU,Completed,W,35.0,17.0,18.0,2026-08-08 12:18:35,2026,-
Missouri,pancake_bear24_67064,0,"Sat, Aug 29",Home,13,Arkansas,dbailey287,User vs User,Completed,L,21.0,42.0,-21.0,2026-08-08 12:18:35,2026,-
Missouri,pancake_bear24_67064,1,"Thu, Sep 3",Home,-,Boston College,CPU,User vs CPU,Completed,W,40.0,28.0,12.0,2026-08-08 12:18:35,2026,-
Missouri,pancake_bear24_67064,2,"Sat, Sep 12",Home,-,Kansas,CPU,User vs CPU,Completed,L,35.0,38.0,-3.0,2026-08-08 12:18:35,2026,-
Missouri,pancake_bear24_67064,3,"Sat, Sep 19",Away,-,TCU,CPU,User vs CPU,Completed,W,49.0,42.0,7.0,2026-08-08 12:18:35,2026,-
Missouri,pancake_bear24_67064,4,"Sat, Sep 26",Away,-,Iowa State,CPU,User vs CPU,Completed,W,35.0,32.0,3.0,2026-08-08 12:18:35,2026,-
Missouri,pancake_bear24_67064,5,"Sat, Oct 3",Away,-,Kansas State,CPU,User vs CPU,Completed,W,36.0,24.0,12.0,2026-08-08 12:18:35,2026,-
Missouri,pancake_bear24_67064,6,"Sat, Oct 10",Home,-,Texas A&M,CPU,User vs CPU,Completed,W,30.0,17.0,13.0,2026-08-08 12:18:35,2026,14
Missouri,pancake_bear24_67064,7,,-,-,BYE,-,BYE,BYE,-,,,,2026-08-08 12:18:35,2026,
Missouri,pancake_bear24_67064,8,"Sat, Oct 24",Away,7,Oklahoma State,bigdaddydoubles,User vs User,Upcoming,-,,,,2026-08-08 12:18:35,2026,
Missouri,Holdma Dix,9,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-25 13:45:06,2026,
Missouri,Holdma Dix,10,"Sat, Nov 7",Home,11,Texas Tech,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:06,2026,
Missouri,Holdma Dix,11,"Sat, Nov 14",Away,2,Georgia,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:06,2026,
Missouri,Holdma Dix,12,"Sat, Nov 21",Home,-,Kentucky,CPU,User vs CPU,Upcoming,-,,,,2026-07-25 13:45:06,2026,
