Season,Team,User,Week,Date,Location,Opponent_Rank,Opponent,Opponent_User,Matchup_Type,Status,Outcome,Team_Score,Opponent_Score,Margin,Last_Updated
2026,Northwestern,Chefkdh,3,"Sat, Sep 19",Away,-,Baylor,TigerBo413,User vs User,Upcoming,-,,,,2026-07-24 16:43:20
2026,2026,Northwestern,Chefkdh,4,"Sat, Sep 26",Home,-,UCF,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:43:20
2026,Northwestern,Chefkdh,5,"Sat, Oct 3",Away,17,Penn State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:43:20
2026,Northwestern,Chefkdh,6,"Sat, Oct 10",Home,-,Ball State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:43:20
2026,Northwestern,Chefkdh,7,"Sat, Oct 17",Home,-,Michigan State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:43:20
2026,Northwestern,Chefkdh,8,"Sat, Oct 24",Home,-,Rutgers,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:43:17
2026,Northwestern,Chefkdh,9,"Sat, Oct 31",Home,-,Purdue,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:43:17
2026,Northwestern,Chefkdh,10,"Sat, Nov 7",Home,18,Iowa,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:43:17
2026,Northwestern,Chefkdh,11,"Sat, Nov 14",Away,1,Ohio State,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:43:17
2026,Northwestern,Chefkdh,12,"Sat, Nov 21",Away,-,Minnesota,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:43:17
2026,Northwestern,Chefkdh,13,"Sat, Nov 28",Away,-,Maryland,CPU,User vs CPU,Upcoming,-,,,,2026-07-24 16:43:17
2026,Northwestern,Chefkdh,14,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:43:17
2026,Northwestern,Chefkdh,Conf Champ,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:43:17
2026,Northwestern,Chefkdh,16,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:43:17
2026,Oklahoma State,bigdaddydoubles,0,,-,-,BYE,-,BYE,BYE,-,,,,2026-07-24 16:43:46
